number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
7696		4		3					
7697		3		3					
7698		4		2					
7699		3		2					
7700		2		3					
7717		2		4					
7718		1		3					
7720		4		3					
7721		1		3					
7722		4		4					
7739		2		2					
7742		3		2					
7744		1		2					
7745		4		2					
7747		1		1					
7764		2		3					
7767		1		3					
7771		1		2					
7774		2		2					
7806		2		2					
7826		2		3					
7835		4		1					
7846		4		3					
7852		4		4					
7853		1		4					
7871		3		1					
7872		1		2					
7878		4		3					
7897		1		2					
7901		1		1					
7902		5		2					
7914		2		1					
7918		3		1					
7919		5		2					
7924		3		1					
7953		4		3					
7965		2		5					
7968		3		2					
7970		4		1					
7975		5		1					
7976		1		1					
7988		1		1					
7993		2		1					
7995		1		3					
7998		4		1					
7999		1		1					
8001		3		2					
8002		3		1					
8006		1		2					
8014		1		3					
8018		1		3					
8019		2		2					
8020		2		3					
8022		5		1					
8023		1		2					
8025		3		3					
8026		5		1					
8037		3		2					
8042		1		1					
8043		3		2					
8064		1		1					
8065		5		1					
8077		2		2					
8096		2		1					
8230		1		1					
8231		2		1					
8235		1		4					
8236		1		4					
8265		1		1					
8371		3		1					
8396		3		11					
