number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1350		1		2					2
1352		4		182	11	1	2	5	178
1353		4		115		2	1		186
1354		1		197	4	11	9	9	186
1355		1		218	37	14	9	37	176
1356		2		11					11
1357		2		195		12	2	7	172
1358		1		53		2		1	50
1359		2		108	3	1	7	2	112
1360		2		71	1			1	36
1361		3		145	3	8	3	12	128
1362		1		42	2			3	39
1363		2		1			2		3
1364		4		208	17	21		35	152
1365		4		200	38	8	7	37	191
1366		4		115				3	112
1367		2		141			6	1	146
1368		3		212	2	16	12	2	206
1369		1		30					
1370		4		199	25	23	11	25	158
1372		4		138	19	14	18	17	125
1375		2		178	12	7	5	15	160
1376		3		177	6	2		5	170
1378		5		194	14	9	9	6	185
1379		5		145	2	3	1		143
1380		3		156	1	8	11	1	158
1381		5		173	11	25	11	7	152
1382		2		118	16	9	4	9	104
1383		5		181	4		1	8	173
1384		5		184	12	4		7	169
1385		5		183	1	8	13	1	190
1386		3		202				6	196
1387		4		153	2	7	5	6	145
1388		3		19		7	12	1	23
1390		1		67					62
1391		1		70		3	8	1	73
1393		2		178	22	4	4	10	170
1394		3		169	1	5	8	3	169
1395		1		180	10	2		3	174
1396		1		179	3	2		6	171
1397		3		204	4	6	6	4	200
1398		3		236	34	25		30	181
1399		1		42	14	8	5	5	34
1400		1		42	14	4	12	16	34
1401		1		81	6	3	2	2	78
1402		1		56	2	1	11	1	55
1403		3		149	24	6	11	16	137
1404		2		171	36	18	6	22	137
1407		1		87		32	9	5	59
1409		2		149		5	1	9	136
1410		1		24	1		5	2	27
1411		1		36	2	7		2	27
1412		5		211	5	15	23	7	212
1413		2		153	13	12	7	15	133
1414		2		161	14	7	14	14	154
1415		3		190	15	10	3	12	171
1416		5		193	18	12	4	14	171
1417		1		111	3	2	7	3	109
1418		1		138		1	3	9	131
1419		1		93	1	2	1	1	91
1420		4		224	12	14	5	19	190
1422		1		96	3		1	5	92
1423		2		175	24	5	5	24	151
1424		1		52		4			48
1425		1		99	11	7		1	51
1426		3		154	18	6	9	23	134
1427		2		157	4	3	2	9	147
1429		1		52		1	7	3	56
1430		3		160	3	8	3	8	145
1431		4		181				12	169
1432		1		54	1		1	1	54
1433		3		59	2	4	10	7	52
1434		4		181	31	9	13	22	163
1435		2		79	3	1	20	1	97
1436		5		150	13	16	3	14	123
1437		6		193	36	6		26	161
1438		1		128	7	6		13	109
1439		1		76	3	4	6	3	72
1440		1		88	4	3		7	78
1441		3		153	10	24	2	11	120
1442		1		150	1				
1443		5		170	4	4	5	5	163
1444		6		201		5	5	16	178
1445		1		74	2	2	1	1	72
1447		3		165	2	6	4	5	158
1449		6		145				12	106
1450		4		176		1	6	8	165
1451		1		206	6	10	3	6	193
1452		1		86	78	4	45	52	75
1453		1		138	3	2	8	4	140
1454		2		121	4	4	3	4	116
1455		3		165	2	4	1	2	160
1456		1		170	3	4	7	5	168
1457		1		160					
1458		6		192		8	6	3	187
1459		1		88	8	4	1	7	78
