number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1357		2		65		15	1	5	42
1358		1		24					23
1359		2		32			9	5	36
1360		2					1	5	28
1361		3		77		7		8	62
1363		2		38	1	8	4	2	32
1364		4		109		18		25	66
1365		4		97		7	1	28	11
1366		4		52				1	51
1367		2		61			4		65
1368		3		64	2	14	9	2	57
1370		4		63		15	9	9	48
1372		4		75		16	19	4	74
1375		2		86		2	1	5	81
1376		3		91		3	2	2	88
1378		5		92		5	16	7	96
1379		5		74			1	1	74
1380		3		56		1	5	1	59
1381		5		72		19	17	5	65
1382		2		91		5	4	9	81
1383		5		87		5		1	81
1384		5		91		7		2	82
1385		5		128	7	13	6	7	115
1386		3		133				6	125
1387		4		103		2	8	12	94
1390		1		26		1			26
1391		1		34		1	2	1	34
1393		2		139		13	13	16	126
1394		3		96		8	3		91
1395		1		100		5		5	90
1396		1		105		5		2	98
1397		3		141	4	9	17	4	129
1398		3		122		10	10	8	114
1399		1		25		1		7	17
1401		1		62		14	11	5	54
1402		1		45		1		2	42
1403		3		97		17		6	75
1404		2		147		18	3	22	110
1407		1		29		28	1	1	1
1409		2		121		5		23	93
1411		1		17	1	5		1	11
1412		5		144		11	19	11	141
1413		2		102		4	7	14	91
1414		2		104		3	27	8	120
1415		3		140		16	5	20	109
1416		5		139		16	2	14	111
1417		1		79		4	10	3	80
1418		1		103		3	5	8	97
1419		1		73				2	71
1420		4		121		9	3	11	106
1422		1		66		7	7	1	65
1423		2		134		14	16	25	111
1425		1		55		20		3	1
1426		3		111		9	11	15	98
1427		2		124		7	19	16	119
1429		1					1		1
1430		3		108		9	19	14	104
1431		4		122				4	118
1432		1					5		5
1433		3		38		10	10	10	34
1434		4		113		7	3	15	101
1435		2					22	3	19
1436		5		109		6	9	11	101
1437		6		129		4	2	24	103
1438		1		70		8	11	11	62
1439		1		55	3	4	7	3	55
1440		1		69		3	5	5	64
1441		3		116		13	40	11	132
1442		1							73
1443		5		91		1	4	5	91
1444		6		102		5		4	108
1445		1					1		1
