number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
2920		2		150	53				
2922		4		225					
2935		1		100	1				
2937		2		250	16				
2940		6		250					
2943		6		300	40				
2975		2		250	5				
2977		3		175					
2978		2		256					
2989		3		256	1				
3008		2		175	9				
3012		2		175	4				
3016		2		300					
3019		3		250					
3020		2		250					
3021		3		250					
3027		2		175	3				
3049		6		256	175				
3054		5		175	44				
3071		6		225	26				
3093		3		175	7				
3095		6		250	26	13			
3118		1				2			
3134		3			3			8	178
3138		7				26		82	
3141		8			31	7			
3156		2		264	14				
3163		5			3	12			
3171		8			48	22			
3176		7		250	5				
3207		8		250	51				
3215		3		253	4	37			
3233		4		250					
3234		2		175	25	18			
3248		3		175					
3252		5		250	40	63			
3257		8		393	36	46			
3266		2		274	64	23		67	187
3267		3		275	31	60			
3271		3		180	8	40			
3272		1		300	25	19			
3275		1		276					
3278		6		284	18	95			
3297		6		177	14	1			
3300		2		221	10	10			
3303		4		203	5	1			
3322		3		278	24	36			
3343		1		232	11	15			
3344		3		272	7	38			
3350		1		272	48	6			
3368		3		284	87	70			
3373		5		201	4				
3386		7		285	82				
3389		5		214					
3399		3		297					
3416		3		342	70				
3421		2		296	130	94			
3423		2		207	72				
3439		2		319	87	30			
3475		3		248	24	14			
3479		2		317	1				
3483		1		318	5				
3513		4		249	9	2		9	240
3530		1		89					
3533		2		408	20				
3545		3		266	3	6			
3549		5		331	3	10			
3552		3		343	2				
3557		3		33					
3567		1			15				
3580		5		272	9	14			
3581		4		353	37	17			
3582		3		250	9	8			
3601		2		109					
3611		4		274	1				
3614		2		356	60				
3621		3		352	6				
3642		2		351	2	6			
3643		1		271	1				
3648		2		305	23				
3665		5		263	21				
3670		3		351	24				
3671		4		228	2				
3679		2		290	19				
3687		1		142	6				
3695		2		309	9				
3702		6		292	35				
3717		2		376	89				
3719		3		353	89				
3743		2		260	24				
3744		1		145					
3747		2			100				
3754		3		345	118				
3776		5		238	15				
3781		4		301	7				
3796		4		337	4				
3802		1		97					
3803		5		363	6				
3806		3		286	41				
3822		2		350	48				
3824		3		338	20				
3831		2		318	113				
3841		4		234	18				
3842		1		227	1				
3844		1		348	8				
3845		6		348	4				
3852		4		253	18				
3857		2		327	6				
3858		2		303	2				
3866		4		390	56				
3867		3		399	70				
3871		2		399	39				
3887		3		259	2				
3890		5		338	18				
3894		5		350	17				
3904		4		276	45				
3907		1		27					
3914		4		269	13				
3918		2		354	44				
3920		4		357	2				
3922		3		341	58				
3944		4		263					
3947		6		254	13	19		40	
3948		2		353	3	7		22	
3952		5		248					
3953		3		300	24				
3959		6		304	28	82		187	
3960		6		256	16	24			
3962		5		193	19				
3963		5		320	3	45			
3964		3		242	6	12			
3965		7		262	2				
3966		1		357	24	54			
3967		1		246	6	31			
3969		1		351	1	10			
3970		2		354	4	44			
3972		1		354	1	6			
3973		2		266	5	4			
3974		1		269	25	13			
3975		2		363	63	51			
3976		5		343	18	67			
3977		6		244	2	5			
3978		4		366	27	54		62	
3979		4		268	2	6			
3980		4		187	1	1		2	
3981		1		345	7	10			
3982		7		173	6	5			
3983		4		383	73	20			
3985		4		286	14	110			
3986		6		251	1	23			
3987		3		311	67			110	
3988		4		309	1				
3989		4		299	7				
3993		3		184	5			14	
3994		4		198	18			69	
3996		1		259	26			64	
3997		1		368	26	58		28	
3998		5		278	6	10		7	
3999		2		358	11	49		38	
4000		1		370	18	37		36	
4001		3		364	10			40	
4002		1		364	9			11	
4003		1		277	4	15	3	6	
4005		1		280	8			52	
4007		3		349	3			121	
4008		4		361	32			42	
4009		3		263	20				
4010		2		262	15			30	
4013		2		348	18			24	
4014		3		255	14			34	
4015		2		246	2			2	
4017		5		233	1				
4018		3		306	4				
4019		6		191	4				
4020		2		202	4				
4022		6		226	31				
4023		1		226	14				
4025		1		379	51	74			
4027		1		359	34	9			
4028		1		360	27	49			
4030		2		266	27				
4031		2		360	16				
4032		2		354	22				
4034		3		352	56				
4035		3		352	77				
4036		2		354	34				
4037		1		158	14	5			
4039		3		283	34	19			
4041		5		265	5				
4044		7		227	3				
4047		7		190	5				
4049		5		233	5				
4051		5		203	3				
4052		3		274	17				
4053		5		264	25				
4055		1		355	40	60		84	
4056		1		356	35				
4058		5		273	10				
4059		1		351	32	14			
4060		2		265	13				
4061		3		273	1				
4062		2		355	19	20			
4064		5		192	4				
4065		2		355	15				
4066		3		308	48				
4067		2		281	24	10			
4068		4		356	38				
4069		4		347					
4071		3		360	27				
4072		3		196					
4073		5		313	9				
4074		2		346	14				
4075		3		237	33				
4079		4		323	7	22			
4098		6		366	121	18		131	
4099		4		280	71	47			
4100		1		221					
4101		3		321	76	58		78	
4104		1		238	3	19			
4106		2		304	120	81		129	
4107		4		369	217	80			
4109		6		291	184	60		193	
4110		2		268	90	70		91	
4111		1		337	99	108		103	167
4112		7		282	101	72		113	
4113		2		363	59	14		62	
4114		4		193	7	6		11	
4117		3		223	19	20			
4118		3		319	106	19		114	203
4119		1		173	17	11		30	
4120		4		363	131	20		134	
4121		6		343	105	35		115	
4122		3		323	80	40		88	174
4123		2		185	55	10			
4124		1		337	40	12		40	
4125		1		313	29	41		32	
4126		5		328	48	25		60	
4127		2		315	25	49		31	
4128		2		276	90	40			
4129		2		283	19	19		22	
4130		3		224	42			50	
4131		4		189	42	6		46	
4132		3		325	72	40		76	
4134		1		260	36	60		42	
4135		5		339	83	123		86	222
4136		5		303	60			62	213
4137		3		226	28			30	182
4141		6		266	41				
4142		5		315	116				
4143		2		515	190	11			
4144		1		235	17	16			
4147		5		288	47	11			
4148		3		305	62	30			
4149		4		368	103	30			
4151		1		297	100	4			
4152		4		300	70	41			
4153		1		298	86	3			
4154		3		185	36	33			
4155		1		353	150	67			
4157		1		299	65	50			
4158		3		196	41	1			
4159		5		243	72	14			
4160		3		323	101	36	12	105	194
4161		3		307	58	40			
4162		3		355	107	36			
4163		4		224	33	36			
4164		5		242	54	26			
4165		3		301	42	75	10	50	186
4166		1		307	63	40			
4167		2		247	33				
4169		6		300	52				
4171		5		224	30				
4176		1		258	3	25			
4183		1		239	25	30			
4192		4		262	3	25			
4194		5		322	79	13	34	89	254
4195		3		372	104	38		108	221
4196		3		366	10	25		79	
4197		3		294	22				
4198		2		218	12				
4199		4		239	21				
4200		1		301	16				
4201		3		211	28	82		41	
4202		1		249	2				
4207		2		202	10	7			
4209		2		245	1	6			
4224		1		223		8			
4227		3		303	6	15	80	54	314
4229		2		247	5	13			
4230		4		303	1	16	67	60	294
4232		2		198	7				
4233		5		258	3				
4234		2		249	12				
4235		5		278	9				
4236		4		272	12				
4237		1			7				
4238		3		180	2				
4239		2		314	14	37			
4240		2		245	92	118			
4241		3		230					
4242		3		342	6				
4243		3		234					
4244		3		248	20	16			
4245		5		232	10				
4246		5		230	12				
4247		1		301	17				
4249		2		286	6				
4251		3		342	13				
4252		1		290					
4253		2		326	4				
4254		1		309	2				
4255		3		274	30	28	80	40	286
4256		5		309	47	27	113	60	335
4257		5		219	5				
4259		3		224	5				
4261		1		293	11				
4266		2		186	4				
4267		4		307	5				
4268		4		168	40				
4269		1		310	3				
4270		2		153	4				
4271		2		217	2				
4272		2		222	1	1			
4273		1		300					
4274		4		131	11				
4275		1		286					
4276		1		101	1				
4277		1		214	1				
4278		1		246	2				
4279		4		348	3				
4280		2		331	4				
4281		1		300	11				
4282		1		275	7				
4283		1		195	5				
4284		1		155					
4285		7		209	4				
4286		2		219					
4287		3		182		3			
4288		5		270			45	9	299
4289		5		296	6	20	26	10	292
4291		2		291	3				
4292		2		287	2				
4293		5		301	12				
4294		3		241	8				
4295		5		263	2				
4296		6		127	1				
4297		5		257	5				
4298		1		301					
4299		3		236	1				
4300		5		188	1				
4301		2		294	3				
4302		2		233	3				
4303		2		192	8				
4304		1		173	8				
4305		2		174	4				
4306		6		200	4				
4307		1		287	4				
4308		2		205	25				
4309		6		154					
4310		3		192	2	12	15	3	192
4311		2		206					
4312		2		191	2	5		2	179
4313		1		203	15				
4314		3		46					
4316		3		237	4				
4317		4		289	8				
4318		6		310	8				
4319				217	11				
4320		3		297	15				
4321		4		299	12				
4322		3		93	2	24			
4323		3		59					
4324		1		195	8				
4325		3		185	16				
4326		4		212					
4327		2		304	3	10			
4328		4		177	11				
4329		2		210	43				
4330		3		270	12				
4332		1		199	21				
4333		2		207	3				
4334		3		206	4				
4335		4		131	2				
4336		3		230	5				
4337		2		167	3				
4338		1		197	2				
4339		2		182	5				
4340		4		208	21				
4341		2		183	4	3	25	7	198
4342		6		205	1	6	4	4	199
4343		2		230	19	10			
4344		2		294	2				
4345		2		203	18				
4346		2		314	9				
4347		4		224	5				
4348		5		216	23				
4349		2		216	6				
4350		4		255	4				
4351		5		209	9				
4352		3		201					
4353		6		300	1				
4354		4		59	1				
4355		4		51					
4356		6		233	1				
4357		2		279	13				
4358		3		279	9				
4359		1		268	11				
4360		1		259	8				
4361		4		179	3	9			
4362		3		152	18				
4363		3		225	2				
4364		3		141	7				
4365		2		135	3				
4366		3		154	2				
4367		3		128	1				
4368		2		191	11				
4370		7		182					
4371		3		298	48				
4373		3		186					
4383		5		60	4				
4386		5		45					
4389		3		284	1	5			
4390		1		165					
4391		1		22					
4393		3		301	172	72			
4394		4		291	138	97			
4397		4		302	110	129			
4399		2		317	127	112			
4400		1		36					
4401		1		230					
4403		1		42					
4404		1		32					
4405		1		39					
4407		6		114	7	7			
4408		3		124	1				
4409		1		46					
4410		1		129	1				
4412		1		30					
4413		6		197	11	12			
4414		1		42		5			
4416		1		41					
4418		1		24					
4419		4		259	5	15			
4420		2		279	14	85			
4421		1		40					
4422		2		266	1	25			
4423		5		313	5	70			
4424		1		335	9	30			
4425		1		285	1	19			
4426		1		326	10	20			
4428		2		312	1	19			
4430		1		358	6	46			
4431		3		326	7	20			
4434		1		226					
4435		1		361	1	6			
4437		7		255	3	12			
4438		1		122	1				
4439		2		23					
4440		1		55					
4441		2		30					
4442		1		158	3	1			
4444		2		331	13	40			
4446		1		40	1				
4448		1		341	29	180			
4449		1		58					
4450		1		347	32	130			
4451		1		254	20	100			
4452		1		65	4	20			
4453		1		255	18	60			
4454		1		156	7	4			
4455		1		36					
4456		4		280					
4457		1		259	1	12			
4458		2		377	6	27			
4459		1		37					
4460		1		28		4			
4461		1		28					
4462		1		31					
4463		1		73					
4464		1		130	2	14			
4465		1		303	9	30			
4466		1		268		22			
4467		1		33	1	1			
4468		1		34		3			
4470		1		343	1	8			
4471		1		175	2	10			
4472		3		201	3	4			
4473		2		350	5	17			
4474		2		333	8	40			
4475		4		350	6	26			
4477		1		128	1	1			
4478		1		228	2	3			
4479		1		27	2	24			
4480		2		309	5	25			
4481		1		109					
4482		2		355	20	74			
4483		1		298	10	50			
4484		1		33					
4486		1		320	9	76			
4487		2		22					
4488		1		36					
4489		1		28					
4490		2		234	1	25			
4491		1		347	28	74			
4492		1		28					
4494		2		270	5	42			
4495		6		260					
4496		1		166	1	8			
4497		1		57	1	2			
4498		1		257	1	6			
4499		1		54		1			
4500		1		104					
4501		1		316					
4502		2		155	2	3			
4503		1		272		31			
4504		1		190	15	39			
4505		2		30					
4506		2		390	5	22			
4507		2		355					
4508		1		110		2			
4509		1		311	14	40			
4510		2		248	6	2			
4511		1		340	5	35			
4512		5		350					
4513		4		377					
4514		5		354	34	50			
4515		1		317	4	19			
4516		2		403	2	15			
4517		4		178	2	8			
4518		1		104	1	4			
4520		2		30	1	4			
4521		2		233	21	107			
4522		2		350	3	34			
4523		8		350	5	10			
4525		1		78					
4526		2		33					
4527		1		258	7	50			
4528		2		245					
4530		1		34	6	9			
4531		2		345	9	59			
4532		1		77		3			
4533		3		40					
4534		2		252	1	11			
4536		1		360	15	28			
4537		2		312	25	36			212
4538		2		31					
4540		2		171	7	50			
4541		2		38					
4543		1		384	6	40			
4544		2		361	5				
4545		2		31					
4546		2		199	5	15			
4547		2		361	11	47			
4548		1		331	49	38			
4549		2		288	4	21			
4551		1		188	6	3			
4553		1		421	23	150			
4554		2		34					
4555		3		254	4	12			
4556		2		104	10	24			
4557		1		238	2	16			
4558		1		33					
4561		1		33					
4563		1		265	37	90			
4564		1		342	22	33			
4565		3		335	38	124			
4566		1		255	7	14			
4567		1		196	34	114			
4568		2		161	4	16			
4569		1		33		3			
4570		1		121	4	10			
4571		7		272	11	88			
4572		3		221	17	90			
4573		2		199	8	21			
4577		2		32		12			
4578		2		369	4	57			
4579		1		129	1	6			
4580		1		29					
4581		2		26					
4582		2		40	4				
4583		2		31					
4584		1		328	17	70			
4585		2		28					
4588		1		345	15	34			
4589		1		359	10	70			
4590		1		205	3	12			
4591		1		294	11	22			
4592		1		371	14	30			
4593		1		150	1	2			
4594		2		310	17	25			
4595		1		341	4	10			
4596		1		28					
4597		3		259	6	11			
4598		2		350	71	140			
4599		1		344					
4600		3		260	2	11			
4601		3		359	1	10			
4602		2		187	1				
4603		3		36					
4604		2		97	2	5			
4608		2		243	4	27			
4609		2		237	2	17			
4610		1		30					
4614		6		337	6	30			
4615		1		25		1			
4619		3		30					
4627		1		25	1				
4630		2		31					
4632		1		328	1	6			
4635		2		85					
4636		1		24					
4637		2		31	8	17			
4638		1		24					
4641		2		24	4	7			
4644		4		275	6	8			
4647		1		56	1	1			
4648		1		24					
4649		2		26					
4654		1		24					
4657		1		24	1				
4661		1		363	23	41			
4664		1		259	4	25			
4665		1		24					
4666		2		25					
4667		1		24					
4671		2		24					
4674		2		77	1	14			
4675		2		165	12	39			
4676		2		24					
4677		1		350	4	7			
4678		1		310	33	103			
4679		2		121	3	10			
4680		2		332	16				
4681		1		359	3	28			
4682		2		75					
4683		1		186	3	20			
4684		3		243	15	15			
4685		1		160	5	24			
4686		2		59					
4687		2		238	1	14			
4688		2		357	1				
4689		1		204		16			
4690		1		25					
4691		2		175		8			
4692		2		52					
4694		2		300	12	36			
4696		2		25					
4698		2		305	9	48			
4700		2		63					
4702		2		25					
4706		2		58	2				
4707		2		159	4				
4710		3		217	3				
4711		3		25					
4713		2		231		5			
4716		2		348	54	78			
4717		1		371	79	55			
4718		2		67					
4719		2		29					
4720		2		308	5	28			
4721		3		297	7	18			
4722		3		24					
4723		1		402	3	7			
4724		3		389					
4725		3		25					
4727		3		63					
4728		2		179	4	7			
4729		2		360	6	6			
4730		2		60		10			
4731		2		25					
4732		3		267	4	5			
4733		2		308	4	21			
4734		2		347	1	1			
4735		3		80	1	6			
4736		1		349	7	21			
4737		2		372	7	17			
4738		3		380	24	23			
4739		3		371	14	23			
4740		1		387	9	25			
4741		2		25		4			
4742		1		226	32	48			
4743		3		301	2	5			
4744		4		375	3	14			
4745		1		363	4	9			
4746		4		200		2			
4747		2		249	3	21			
4748		2		36					
4749		3		34			26		
4752		3		37		1			
4753		3		294	16				
4754		3		50		1			
4761		3		92					
4763		2		37					
4764		3		1110	4				
4765		1		261	9				
4766		2		193	6				
4767		2		243	7				
4768		4		37					
4771		1		67					
4772		1		210	3				
4779		4		33					
4780		3		25					
5054		1		70					
5078		1		119					
5162		1		25					
5163		1		57					
5164		1		121					
5166		2		75					
5174		1		75					
5175		2		85					
5195		3		65					
5196		1		95					
5197		1		80					
5198		1		75					
5199		1		95					
5225		1		120					
5226		5		110					
5227		1		80					
5228		3		110					
5229		2		120					
5230		1		100					
5231		1		120					
5234		3		125					
5235		2		133					
5240		2		153					
5241		3		126					
5242		1		190					
5243		1		287					
5245		2		119					
5246		6		154					
5247		2		127					
5248		1		117					
5249		4		158					
5250		3		142					
5253		2		117					
5254		3		123					
5255		4		102					
5256		2		152					
5257		3		138					
5258		1		103					
5261		1		120					
5262		2		120					
5263		7		120					
5264		5		100					
5265		4		120					
5267		3		122					
5268		5		162					
5269		1		47					
5270		4		139					
5271		3		133					
5272		2		131					
5286		3		100					
5287		6		150					
5288		4		110					
5289		4		130					
5290		1		110					
5291		5		110					
5292		1		50					
5293		2		130					
5294		3		110					
5295		1		45					
5330		4		105					
5331		3		127					
5332		2		125					
