number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
2066		1					6		6
2069		3					5		5
2071		1		3					3
2072		6		5		1			4
2074		6		3		1			2
2075		1					3		3
2076		2		2					2
2078		1		5					5
2079		3		1		1			
2083		4					2		2
2084		7		7		2	2	2	5
2085		2		3					3
2086		4		2					2
2087		2		3					3
2089		1		5					5
2090		1		2					2
2091		3		17		3	9		23
2092		1		1					1
2093		1		7					7
2094		5		3					3
2096		2		7			2		9
2097		2		157	5	2	4	6	153
2098		2		6		2	1		5
2099		5		4			6		10
2101		2		1					1
2102		4		1					1
2103		2					1		1
2104		1		3			3		6
2106		6		3					3
2107		2		1					1
2108		2		1					1
2109		3		5	1	2	3	1	5
2110		1		8		7			1
2112		1		2			5		7
2114		2		13		2			12
2115		1		5					5
2116		5		9					5
2117		3		14		1			13
2118		2					1		1
2119		1		2		1	6	1	6
2120		4					3	1	2
2125		1		3					3
2126		3		3					5
2127		1		5					5
2128		4					6		6
2130		2		1					1
2131		4		6			3		9
2132		7		9	1		4	1	12
2134		3		9					9
2136		3		2					2
2137		1		3			1		4
2139		2		1					1
2140		2		2					2
2141		7		1			4		5
2142		1		3					3
2143		6		16		5	6		17
2144		6		5					5
2145		2		22			2	1	25
2152		2		11			2		13
2154		2		8					8
2155		2		7					7
2157		3		5					5
2159		2		8					8
2160		2		14		1			13
2161		1		7					7
2162		7					8		9
2165		2		5				1	4
2166		2		3					3
2167		5		4			1		5
2168		2					2		2
2169		3		2					2
2170		2		2		1	2		3
2171		1		1					1
2172		3		1					1
2173		4		6			2		8
2174		2		5		5			
2175		1		10			1		11
2176		2		11		11			
2177		2		13		13	2		2
2178		7		7		7	12		12
2180		3		27		27			
2181		2		10		8	2		4
2182		2		2		2	2		2
2187		4		10		4			6
2189		2		3		3			
2190		3		16		11	1		6
2191		2		8					8
2193		1		15		15	3		3
2194		2		10		9			1
2195		6		25		22			3
